scientificname,longitude,latitude,depth,taxonRank,occurrenceStatus,phylum,class,date_time,AphiaID
Synechococcus,-168.673,-66.1,133.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.673,-66.1,162.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.673,-66.1,204.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.673,-66.1,32.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.673,-66.1,51.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.673,-66.1,72.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-27,160572.0
Synechococcus,-168.833,-61.667,100.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-13,160572.0
Synechococcus,-168.833,-61.667,11.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-13,160572.0
Synechococcus,-168.833,-61.667,132.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-13,160572.0
Synechococcus,-168.833,-61.667,160.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-13,160572.0
Synechococcus,-168.833,-61.667,203.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-13,160572.0
Synechococcus,-168.833,-61.667,29.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-13,160572.0
Synechococcus,-168.833,-61.667,51.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-13,160572.0
Synechococcus,-168.833,-61.667,70.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-13,160572.0
Synechococcus,-169.188,-64.153,101.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-16,160572.0
Synechococcus,-169.188,-64.153,13.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-16,160572.0
Synechococcus,-169.188,-64.153,134.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-16,160572.0
Synechococcus,-169.188,-64.153,168.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-16,160572.0
Synechococcus,-169.188,-64.153,200.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-16,160572.0
Synechococcus,-169.188,-64.153,33.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-16,160572.0
Synechococcus,-169.188,-64.153,52.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-16,160572.0
Synechococcus,-169.188,-64.153,71.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-16,160572.0
Synechococcus,-169.252,-60.916,104.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-11,160572.0
Synechococcus,-169.252,-60.916,11.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-11,160572.0
Synechococcus,-169.252,-60.916,131.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-11,160572.0
Synechococcus,-169.252,-60.916,162.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-11,160572.0
Synechococcus,-169.252,-60.916,203.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-11,160572.0
Synechococcus,-169.252,-60.916,31.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-11,160572.0
Synechococcus,-169.252,-60.916,51.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-11,160572.0
Synechococcus,-169.252,-60.916,72.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-11,160572.0
Synechococcus,-169.333,-64.7,100.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-169.333,-64.7,20.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-169.333,-64.7,40.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-169.333,-64.7,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-169.333,-64.7,60.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-169.333,-64.7,70.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-26,160572.0
Synechococcus,-169.494,-64.742,101.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-17,160572.0
Synechococcus,-169.494,-64.742,132.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-17,160572.0
Synechococcus,-169.494,-64.742,162.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-17,160572.0
Synechococcus,-169.494,-64.742,203.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-17,160572.0
Synechococcus,-169.494,-64.742,32.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-17,160572.0
Synechococcus,-169.494,-64.742,4.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-17,160572.0
Synechococcus,-169.494,-64.742,50.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-17,160572.0
Synechococcus,-169.494,-64.742,71.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-17,160572.0
Synechococcus,-169.837,-62.398,10.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-21,160572.0
Synechococcus,-169.837,-62.398,13.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-21,160572.0
Synechococcus,-169.837,-62.398,17.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-21,160572.0
Synechococcus,-169.837,-62.398,22.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-21,160572.0
Synechococcus,-169.837,-62.398,34.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-21,160572.0
Synechococcus,-169.837,-62.398,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-21,160572.0
Synechococcus,-169.882,-63.089,103.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-19,160572.0
Synechococcus,-169.882,-63.089,12.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-19,160572.0
Synechococcus,-169.882,-63.089,133.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-19,160572.0
Synechococcus,-169.882,-63.089,164.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-19,160572.0
Synechococcus,-169.882,-63.089,205.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-19,160572.0
Synechococcus,-169.882,-63.089,32.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-19,160572.0
Synechococcus,-169.882,-63.089,51.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-19,160572.0
Synechococcus,-169.882,-63.089,74.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1997-12-19,160572.0
Synechococcus,-169.883,-63.083,100.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-24,160572.0
Synechococcus,-169.883,-63.083,16.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-24,160572.0
Synechococcus,-169.883,-63.083,25.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-24,160572.0
Synechococcus,-169.883,-63.083,40.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-24,160572.0
Synechococcus,-169.883,-63.083,5.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-24,160572.0
Synechococcus,-169.883,-63.083,53.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-24,160572.0
Synechococcus,-169.883,-63.083,70.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-24,160572.0
Synechococcus,-169.883,-63.083,10.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-25,160572.0
