station,depth,chla_ugL,chlorophytes,mixed_flagellates,cryptophytes,haptophytes,diatoms
073_03,74.8,0.050182261,0.050059887,0,4.19E-06,0.697079024,0.252856902
073_03,100.2,0.046368304,0.079347985,9.87E-05,0.000447391,0.646099823,0.274006107
075_01,1.8,0.104394929,0.16348294,0,0.135814714,0.483388418,0.21731393
075_01,10.2,0.097337931,0.133861186,5.25E-05,0.116335655,0.515212599,0.234538052
075_01,24.8,0.082898692,0.134941906,0,0.143893944,0.513416374,0.207747776
075_01,49.4,0.087702338,0.113229782,0,0.100572607,0.590654669,0.195542943
075_01,75.3,0.0537751,0.166243082,0,0,0.653178751,0.180578167
075_01,100.5,0.017650319,0.000809942,0.000578522,0.00246305,0.534943196,0.46120529
077_01,1.6,0.201368319,0.145887088,0.021937235,0.109671949,0.510690967,0.211812762
077_01,10.2,0.19770284,0.136564335,0.009282773,0.110448051,0.574909161,0.168795679
077_01,25.3,0.135745509,0.155637597,0.029876644,0.11071739,0.510732601,0.193035768
077_01,49.1,0.114289424,0.168440555,0,0.090727761,0.607592612,0.133239073
077_01,76.1,0.092441071,0.162200521,0,0.076453585,0.56879543,0.192550465
077_01,102.1,0.035511441,0.140333982,0.000142314,0.000612213,0.546535865,0.312375627
078_03,1.3,0.300667843,0.117589576,0,0.056460025,0.565601204,0.260349195
078_03,9.7,0.283886681,0.115904638,0.006879573,0.062519878,0.578803661,0.23589225
078_03,25.2,0.323480821,0.121665729,0.006100178,0.060944877,0.571309384,0.239979833
078_03,74.7,0.143224509,0.094413836,0.007909251,0.044899626,0.667513368,0.185263919
078_03,100.6,0.114648086,0.077170141,0.000133686,0.000567645,0.650526302,0.271602226
080_01,2.7,0.343603428,0.087728784,6.33E-05,0.033194705,0.446456236,0.432557009
080_01,9.5,0.343298473,0.075253353,0,0.033385258,0.484554928,0.406806461
080_01,25,0.361077146,0.073145752,4.91E-05,0.030554235,0.465059825,0.431191048
080_01,49.6,0.189283997,0.103398614,0,0.035209115,0.714691457,0.146700814
080_01,73.9,0.18001736,0.070797969,0,0,0.635635394,0.293566637
082_03,1.4,0.587300948,0.022683147,0.007643625,0.006371635,0.625527016,0.337774577
082_03,10,0.526432891,0.03164833,0.006395067,0,0.649683784,0.312272819
082_03,24.2,0.629511725,0.021786305,0.007286892,0.009504012,0.608373965,0.353048826
082_03,49.3,0.653486352,0.020279778,0.005855933,0.009422821,0.632659056,0.331782412
082_03,74.9,0.597229493,0,0,0.003168543,0.731574619,0.265256838
082_03,99.8,0.279867228,0,0,0,0.756193728,0.243806272
084_03,1.1,0.181285793,0.104505366,0,0.036621117,0.467527877,0.391345639
084_03,10.6,0.207985211,0.099385346,0,0.040204293,0.489002063,0.371408298
084_03,24.8,0.201768748,0.104018498,0,0.027230678,0.458173762,0.410577062
084_03,49.7,0.171596497,0.131593074,0,0.014778802,0.498774604,0.35485352
084_03,77.2,0.028249998,0.000426925,0.000440624,0.00184439,0.573354451,0.42393361
