AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
495352,https://www.marinespecies.org/aphia.php?p=taxdetails&id=495352,Pyramimonas grossii,"Parke, 1949",alternate representation,,220.0,Species,134550.0,Pyramimonas subg. Trichocystis grossii,"Parke, 1949",134529.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas grossii Parke, 1949. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=495352 on 2022-05-29",urn:lsid:marinespecies.org:taxname:495352,1.0,,,,,exact,2015-06-26T12:00:51.270Z
640807,https://www.marinespecies.org/aphia.php?p=taxdetails&id=640807,Pyramimonas janetae,"R.E.Norris, 1964",accepted,,220.0,Species,640807.0,Pyramimonas janetae,"R.E.Norris, 1964",134529.0,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pyramimonas janetae R.E.Norris, 1964. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=640807 on 2022-05-29",urn:lsid:marinespecies.org:taxname:640807,1.0,,,,,phonetic,2015-06-26T12:14:04.327Z
573813,https://www.marinespecies.org/aphia.php?p=taxdetails&id=573813,Chroomonas collegionis,"Butcher ex D.R.A.Hill, 1991",accepted,,220.0,Species,573813.0,Chroomonas collegionis,"Butcher ex D.R.A.Hill, 1991",106281.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hemiselmidaceae,Chroomonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chroomonas collegionis Butcher ex D.R.A.Hill, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=573813 on 2022-05-29",urn:lsid:marinespecies.org:taxname:573813,,1.0,,,,exact,2015-06-26T12:00:51.270Z
573817,https://www.marinespecies.org/aphia.php?p=taxdetails&id=573817,Chroomonas extensa,"Butcher, 1967",accepted,,220.0,Species,573817.0,Chroomonas extensa,"Butcher, 1967",106281.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hemiselmidaceae,Chroomonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chroomonas extensa Butcher, 1967. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=573817 on 2022-05-29",urn:lsid:marinespecies.org:taxname:573817,1.0,,,,,exact,2015-06-26T12:00:51.270Z
648132,https://www.marinespecies.org/aphia.php?p=taxdetails&id=648132,Cryptomonas profunda,"R.W.Butcher, 1967",accepted,,220.0,Species,648132.0,Cryptomonas profunda,"R.W.Butcher, 1967",106282.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cryptomonas profunda R.W.Butcher, 1967. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=648132 on 2022-05-29",urn:lsid:marinespecies.org:taxname:648132,1.0,,,,,exact,2015-06-26T12:00:51.270Z
341616,https://www.marinespecies.org/aphia.php?p=taxdetails&id=341616,Geminigera cryophila,"(D.L.Taylor & C.C.Lee) D.R.A.Hill, 1991",accepted,,220.0,Species,341616.0,Geminigera cryophila,"(D.L.Taylor & C.C.Lee) D.R.A.Hill, 1991",341305.0,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Geminigera,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Geminigera cryophila (D.L.Taylor & C.C.Lee) D.R.A.Hill, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=341616 on 2022-05-29",urn:lsid:marinespecies.org:taxname:341616,1.0,,,,,exact,2015-06-26T12:00:51.270Z
178567,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178567,Hillea fusiformis,"(J.Schiller) J.Schiller, 1925",accepted,,220.0,Species,178567.0,Hillea fusiformis,"(J.Schiller) J.Schiller, 1925",178565.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hilleaceae,Hillea,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Hillea fusiformis (J.Schiller) J.Schiller, 1925. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178567 on 2022-05-29",urn:lsid:marinespecies.org:taxname:178567,1.0,,0.0,0.0,,exact,2015-06-26T12:00:51.270Z
178566,https://www.marinespecies.org/aphia.php?p=taxdetails&id=178566,Hillea marina,"Butcher, 1952",accepted,,220.0,Species,178566.0,Hillea marina,"Butcher, 1952",178565.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hilleaceae,Hillea,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Hillea marina Butcher, 1952. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=178566 on 2022-05-29",urn:lsid:marinespecies.org:taxname:178566,1.0,,,,,exact,2015-06-26T12:00:51.270Z
573886,https://www.marinespecies.org/aphia.php?p=taxdetails&id=573886,Isoselmis obconica,"Butcher, 1967",accepted,,220.0,Species,573886.0,Isoselmis obconica,"Butcher, 1967",573885.0,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Isoselmis,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Isoselmis obconica Butcher, 1967. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=573886 on 2022-05-29",urn:lsid:marinespecies.org:taxname:573886,1.0,,,,,exact,2015-06-26T12:00:51.270Z
119077,https://www.marinespecies.org/aphia.php?p=taxdetails&id=119077,Leucocryptos marina,"(Braarud) Butcher, 1967",accepted,,220.0,Species,119077.0,Leucocryptos marina,"(Braarud) Butcher, 1967",17651.0,Chromista,Cryptophyta,Cryptophyta incertae sedis,,Katablepharidaceae,Leucocryptos,"Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Leucocryptos marina (Braarud) Butcher, 1967. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=119077 on 2022-05-29",urn:lsid:marinespecies.org:taxname:119077,1.0,,,,,exact,2015-06-26T12:00:51.270Z
