station,depth,chla_ugL,chemtax_chlorophytes,chemtax_mixed_flagellates,chemtax_cryptophytes,Haptophytes1_frac_chla,Haptophytes2_frac_chla,chemtax_diatoms
067_01,100.3,0.017660728,0.000377836,0.000270221,0.001154139,0.071286107,0.423150754,0.503760942
068_01,1.6,0.19051033,0.09246551,0.013040047,0.048679747,0.147028551,0.412132818,0.286653327
068_01,10,0.146007766,0.083292168,0,0.036696106,0.145580084,0.499897774,0.234533869
068_01,49.9,0.138664184,0.066767124,0,0.054393169,0.20366083,0.456646739,0.218532137
068_01,69.6,0.116667878,0.055113586,0,0.026753526,0.145783843,0.47981009,0.292538955
068_01,99.9,0.033476739,0.000354189,0.000252607,0.001071362,0.070731276,0.41634783,0.511242736
070_01,1.9,0.177391879,0.040807649,0.012880807,0.067184717,0.147458518,0.26919485,0.462473459
070_01,9.6,0.150383821,0.050466715,0,0.070761575,0.137861978,0.313045571,0.427864161
070_01,24.7,0.1369158,0.048894884,0,0.065940403,0.152264553,0.293967562,0.438932599
070_01,50,0.076436263,0.066831467,0,0.084150875,0.187445532,0.493722717,0.167849408
070_01,74.5,0.059300297,0.062519721,0.000178666,0.000770486,0.119605909,0.565238798,0.25168642
070_01,89.8,0.037333209,0.00071495,0.000511992,0.002194,0.121109711,0.544243323,0.331226025
071_03,2.3,0.084226093,0.143926344,0.000266587,0.115206685,0.092203852,0.430079086,0.218317446
071_03,10.1,0.096985726,0.114303677,0.027633676,0.109216889,0.015192678,0.578031784,0.155621297
071_03,24.6,0.088594688,0.098971403,0.035145838,0.130962002,0.13531094,0.436627888,0.16298193
071_03,50,0.073168797,0.078065933,0.000332343,0.099835578,0.14531707,0.433640595,0.242808481
071_03,75.2,0.062478351,0.073879135,0.000107256,0.038485357,0.155960043,0.469261558,0.262306651
071_03,100.3,0.031347326,0.000485756,0.000347866,0.001490735,0.050462712,0.655893311,0.29131962
073_03,1.9,0.118021603,0.2048864,0.000247801,0.035274539,0.241692018,0.317226098,0.200673142
073_03,9.8,0.082991405,0.187252728,0.000256962,0.040658194,0.199528809,0.372388734,0.199914573
073_03,24.7,0.10101257,0.183491916,0,0.038604945,0.152171452,0.51534947,0.110382216
073_03,50.1,0.126289679,0.059671779,0,0.008649782,0.272959106,0.557690384,0.101028948
073_03,74.8,0.050182261,0.050059887,0,4.19E-06,0.032644271,0.664434753,0.252856902
073_03,100.2,0.046368304,0.079347985,9.87E-05,0.000447391,0.034557599,0.611542224,0.274006107
075_01,1.8,0.104394929,0.16348294,0,0.135814714,0.106630259,0.376758159,0.21731393
075_01,10.2,0.097337931,0.133861186,5.25E-05,0.116335655,0.0816091,0.433603499,0.234538052
075_01,24.8,0.082898692,0.134941906,0,0.143893944,0.137870788,0.375545586,0.207747776
075_01,49.4,0.087702338,0.113229782,0,0.100572607,0.19614577,0.394508899,0.195542943
075_01,75.3,0.0537751,0.166243082,0,0,0.081249071,0.57192968,0.180578167
075_01,100.5,0.017650319,0.000809942,0.000578522,0.00246305,0.079151615,0.455791581,0.46120529
077_01,1.6,0.201368319,0.145887088,0.021937235,0.109671949,0.210528574,0.300162393,0.211812762
077_01,10.2,0.19770284,0.136564335,0.009282773,0.110448051,0.233753559,0.341155602,0.168795679
077_01,25.3,0.135745509,0.155637597,0.029876644,0.11071739,0.174463271,0.33626933,0.193035768
077_01,49.1,0.114289424,0.168440555,0,0.090727761,0.151709765,0.455882847,0.133239073
077_01,76.1,0.092441071,0.162200521,0,0.076453585,0.111221074,0.457574356,0.192550465
077_01,102.1,0.035511441,0.140333982,0.000142314,0.000612213,0.049179491,0.497356374,0.312375627
078_03,1.3,0.300667843,0.117589576,0,0.056460025,0.279432453,0.286168751,0.260349195
078_03,9.7,0.283886681,0.115904638,0.006879573,0.062519878,0.246029452,0.332774209,0.23589225
078_03,25.2,0.323480821,0.121665729,0.006100178,0.060944877,0.25290799,0.318401394,0.239979833
078_03,74.7,0.143224509,0.094413836,0.007909251,0.044899626,0.111276318,0.55623705,0.185263919
078_03,100.6,0.114648086,0.077170141,0.000133686,0.000567645,0.147900962,0.50262534,0.271602226
080_01,2.7,0.343603428,0.087728784,6.33E-05,0.033194705,0.223240174,0.223216062,0.432557009
080_01,9.5,0.343298473,0.075253353,0,0.033385258,0.227198446,0.257356482,0.406806461
080_01,25,0.361077146,0.073145752,4.91E-05,0.030554235,0.238684541,0.226375284,0.431191048
080_01,49.6,0.189283997,0.103398614,0,0.035209115,0.247045022,0.467646435,0.146700814
080_01,73.9,0.18001736,0.070797969,0,0,0.158079244,0.47755615,0.293566637
082_03,1.4,0.587300948,0.022683147,0.007643625,0.006371635,0.506407521,0.119119495,0.337774577
082_03,10,0.526432891,0.03164833,0.006395067,0,0.536561252,0.113122532,0.312272819
082_03,24.2,0.629511725,0.021786305,0.007286892,0.009504012,0.484812121,0.123561844,0.353048826
082_03,49.3,0.653486352,0.020279778,0.005855933,0.009422821,0.594095915,0.038563141,0.331782412
082_03,74.9,0.597229493,0,0,0.003168543,0.651339808,0.080234811,0.265256838
082_03,99.8,0.279867228,0,0,0,0.638615296,0.117578432,0.243806272
084_03,1.1,0.181285793,0.104505366,0,0.036621117,0.199558665,0.267969212,0.391345639
084_03,10.6,0.207985211,0.099385346,0,0.040204293,0.197328849,0.291673214,0.371408298
084_03,24.8,0.201768748,0.104018498,0,0.027230678,0.193534029,0.264639733,0.410577062
084_03,49.7,0.171596497,0.131593074,0,0.014778802,0.131037656,0.367736948,0.35485352
084_03,77.2,0.028249998,0.000426925,0.000440624,0.00184439,0.090755791,0.48259866,0.42393361
