Sample ID,lat,lon,Date,Time (GMT),yearday,POC,POC stdev,PON
F99,-2.07799,-24.99183,1/Nov,7:16,305.30279,10.93,4.18,5.5010895
F100,-2.92453,-25.00177,1/Nov,13:16,305.55279,22,0.66,5.0715205
F101,-3.05615,-24.99768,1/Nov,16:36,305.69168,29.44,2.68,4.81257875
F102,-3.53462,-25.03767,1/Nov,19:39,305.81876,34.39,3.47,5.370721
F103,-4.13658,-25.02213,1/Nov,23:35,305.98265,34.81,0.98,5.94315125
F104,-4.4735,-25.0266,2/Nov,2:34,306.10696,18.36,2.26,4.84595625
F105,-4.62183,-25.00217,2/Nov,5:52,306.24446,24.35,1.01,4.2682915
F106,-5.493,-25.03017,2/Nov,11:35,306.48265,25.57,1.81,5.185658
F107,-5.82925,-25.02987,2/Nov,15:23,306.64098,28.08,1.48,5.927003
F108,-6.43407,-25.04025,2/Nov,18:42,306.77918,31.35,2.88,5.10336
F109,-7.49875,-25.04008,3/Nov,0:24,307.01668,23.39,4.13,4.0596935
F110,-7.88227,-25.04795,3/Nov,2:29,307.10348,15.92,1.24,4.658488
F111,-8.16883,-25.01833,3/Nov,6:19,307.26321,19.39,0.22,4.65779575
F112,-9.50177,-25.05525,3/Nov,13:42,307.57084,21.08,1.69,3.8189985
F113,-10.25717,-25.05492,3/Nov,19:27,307.81043,26.08,0.47,4.079972875
F114,-11.07183,-25.05958,3/Nov,23:38,307.98473,20.03,0.01,4.330063
F115,-11.41757,-25.03657,4/Nov,2:30,308.10418,30.43,1.78,6.2581675
F116,-11.70283,-25.01883,4/Nov,6:13,308.25904,16.43,1.47,4.19835475
F117,-13.01238,-25.06913,4/Nov,13:26,308.55973,18.31,1.68,
F118,-13.77593,-25.08687,4/Nov,19:27,308.81043,22.12,2.74,3.217031
F119,-14.73382,-25.07837,5/Nov,0:29,309.02015,16.95,0.74,3.46228875
F120,-15.27003,-25.07878,5/Nov,3:19,309.13821,17.5,0,3.20261625
F121,-15.5865,-25.06,5/Nov,7:25,309.30904,18.84,0.51,3.04955625
F122,-16.348,-25.08817,5/Nov,11:34,309.48196,15.44,1.22,2.8271925
F123,-16.77965,-25.10757,5/Nov,15:52,309.66112,10.76,0.27,3.452079625
F124,-17.39202,-25.08523,5/Nov,19:43,309.82154,21.24,1.03,2.74081175
F125,-17.98943,-25.09835,5/Nov,23:47,309.99098,17.17,2.62,3.84123
F126,-18.49165,-25.10047,6/Nov,3:39,310.15209,17.33,1.65,3.006536375
F127,-18.53283,-25.10833,6/Nov,7:17,310.30348,14.83,2.95,4.098360875
F128,-18.52378,-25.11795,7/Nov,9:40,311.40279,21.35,3.73,3.19960325
F129,-18.52978,-25.10145,7/Nov,15:33,311.64793,23.3,0.24,2.99019725
F130,-19.02873,-24.88732,7/Nov,19:43,311.82154,13.56,2.02,3.80921725
F131,-19.59808,-24.663,7/Nov,23:42,311.98751,16.42,2.07,2.28758075
F132,-20.10123,-24.52007,8/Nov,3:16,312.13612,22.08,2.55,3.917426
F133,-20.3325,-24.55983,8/Nov,7:20,312.30557,16.55,2.64,2.8271935
F134,-21.18817,-24.827,8/Nov,13:21,312.55626,20.76,0.54,3.51710925
F135,-21.80605,-24.98682,8/Nov,19:28,312.81112,17.94,0.39,3.2083865
F136,-22.41488,-25.00055,8/Nov,23:40,312.98612,15.85,0.63,3.036174125
F137,-22.94885,-25.0038,9/Nov,3:22,313.14029,23.61,0.5,3.11296475
F138,-23.17533,-24.9975,9/Nov,7:13,313.30071,16.08,0.71,3.216095375
F139,-24.1253,-25.00273,9/Nov,13:48,313.57501,21.39,3.87,
F140,-24.67883,-25.00382,9/Nov,19:16,313.80279,31.68,5.9,2.8489135
F141,-25.34752,-24.99987,9/Nov,23:50,313.99307,25.07,1.08,3.16856775
F142,-25.733,-24.99657,10/Nov,3:40,314.15279,14.51,2.41,
F143,-25.92617,-25.0053,10/Nov,6:48,314.28334,17.57,0.02,4.3589745
F144,-26.95883,-25.00167,10/Nov,13:15,314.55209,14.88,2.62,3.837579375
F145,-27.52548,-25.01005,10/Nov,19:28,314.81112,19.48,1.78,3.99869925
F146,-28.10428,-25.14038,10/Nov,23:51,314.99376,21.18,3.16,3.7711305
F147,-28.35958,-25.48443,11/Nov,2:35,315.10765,16.33,0.02,2.6910835
F148,-28.4785,-25.62667,11/Nov,6:54,315.28751,21.98,0.75,4.55712375
