,,,,,,PRIMARY PIGMENTS,,,,,,,,,,,,SECONDARY PIGMENTS,,,,,,,TERTIARY PIGMENTS,,,,,,ANCILLARY PIGMENT
Sample ID,lat (deg N),lon (deg E),Date,Time (GMT),yearday,[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro]
F179,-39.98013,-42.20577,17/Nov,2:34,321.10696,0.7795,0.104,0.1645,0.0405,0.036,0.2845,0.0045,0.092,0.009,0.029,0.079,0.159,0.7625,0.0009999,0.017,0.104,0.0009999,0.0825,0.082,0.003,0.012,0.023,0.006,0.004,0.006,0.0009999
F180,-40.22967,-42.599,17/Nov,7:15,321.30209,1.133,0.219,0.253,0.052,0.064,0.427,0.006,0.109,0.01,0.043,0.122,0.139,1.108,0.0009999,0.025,0.219,0.0009999,0.129,0.124,0.005,0.024,0.033,0.009,0.0009999,0.011,0.0009999
F181,-40.86257,-43.58363,17/Nov,13:23,321.55765,0.476,0.044,0.117,0.027,0.059,0.175,0.007,0.083,0.033,0.048,0.009,0.134,0.451,0.0009999,0.025,0.044,0.0009999,0.056,0.061,0.006,0.005,0.005,0.003,0.0009999,0.008,0.0009999
F182,-41.28978,-44.25387,17/Nov,19:17,321.80348,0.506,0.026,0.143,0.024,0.116,0.186,0.008,0.11,0.026,0.072,0.0009999,0.089,0.492,0.0009999,0.014,0.026,0.0009999,0.067,0.076,0.004,0.003,0.004,0.004,0.0009999,0.007,0.0009999
F183,-41.73645,-44.96515,17/Nov,23:42,321.98751,0.409,0.023,0.127,0.014,0.06,0.241,0.004,0.104,0.01,0.038,0.0009999,0.038,0.386,0.0009999,0.023,0.023,0.0009999,0.06,0.067,0.003,0.0009999,0.007,0.0009999,0.0009999,0.006,0.0009999
F184,-42.13527,-45.61362,18/Nov,4:12,322.17501,0.44,0.025,0.134,0.016,0.064,0.25,0.003,0.102,0.012,0.043,0.004,0.027,0.424,0.0009999,0.016,0.025,0.0009999,0.069,0.065,0.003,0.0009999,0.008,0.003,0.0009999,0.006,0.0009999
F185,-42.296,-45.84083,18/Nov,7:17,322.30348,0.398,0.019,0.126,0.014,0.056,0.225,0.003,0.08,0.008,0.044,0.007,0.019,0.386,0.0009999,0.012,0.019,0.0009999,0.066,0.06,0.002,0.003,0.007,0.003,0.006,0.005,0.0009999
F186,-43.03265,-47.04973,18/Nov,14:35,322.60765,0.504,0.021,0.135,0.017,0.057,0.241,0.005,0.154,0.02,0.077,0.004,0.025,0.476,0.0009999,0.028,0.021,0.0009999,0.067,0.068,0.003,0.004,0.007,0.004,0.0009999,0.007,0.0009999
F187,-43.3494,-47.57138,18/Nov,20:19,322.84654,0.598,0.048,0.17,0.023,0.074,0.28,0.01,0.125,0.019,0.094,0.0009999,0.062,0.57,0.0009999,0.028,0.048,0.0009999,0.084,0.086,0.007,0.006,0.01,0.004,0.0009999,0.012,0.0009999
F188,-43.71807,-48.16839,19/Nov,0:52,323.03612,0.313,0.024,0.088,0.014,0.038,0.12,0.007,0.057,0.007,0.068,0.002,0.043,0.267,0.0009999,0.046,0.024,0.0009999,0.046,0.042,0.002,0.005,0.009,0.002,0.0009999,0.008,0.0009999
F189,-43.93686,-48.52865,19/Nov,3:37,323.15071,0.358,0.019,0.109,0.013,0.027,0.236,0.002,0.093,0.009,0.025,0.0009999,0.017,0.347,0.0009999,0.011,0.019,0.0009999,0.051,0.058,0.002,0.003,0.007,0.002,0.0009999,0.006,0.0009999
F190,-44.07283,-48.77917,19/Nov,7:23,323.30765,0.441,0.024,0.147,0.014,0.042,0.3,0.003,0.094,0.009,0.032,0.0009999,0.015,0.429,0.0009999,0.012,0.024,0.0009999,0.072,0.075,0.003,0.004,0.009,0.003,0.003,0.007,0.0009999
F191,-44.65447,-49.72095,19/Nov,14:29,323.60348,0.824,0.067,0.235,0.033,0.086,0.384,0.021,0.135,0.012,0.109,0.01,0.119,0.752,0.0009999,0.072,0.067,0.0009999,0.122,0.113,0.007,0.008,0.015,0.006,0.012,0.015,0.0009999
F192,-45.00913,-50.31915,19/Nov,20:35,323.85765,0.586,0.059,0.174,0.027,0.064,0.244,0.022,0.056,0.008,0.094,0.004,0.12,0.553,0.0009999,0.033,0.059,0.0009999,0.094,0.08,0.004,0.007,0.011,0.004,0.005,0.013,0.0009999
F193,-45.30448,-50.9307,20/Nov,0:46,324.03196,0.684,0.077,0.161,0.032,0.036,0.152,0.025,0.079,0.008,0.155,0.042,0.089,0.56,0.0009999,0.124,0.077,0.0009999,0.097,0.064,0.003,0.01,0.018,0.005,0.015,0.022,0.0009999
F194,-45.50742,-51.35175,20/Nov,3:40,324.15279,1.004,0.081,0.316,0.038,0.091,0.476,0.019,0.096,0.02,0.157,0.049,0.094,0.846,0.0009999,0.158,0.081,0.0009999,0.159,0.157,0.002,0.011,0.015,0.007,0.019,0.022,0.0009999
F195,-45.66733,-51.70017,20/Nov,7:18,324.30418,0.807,0.071,0.263,0.029,0.128,0.406,0.014,0.083,0.009,0.11,0.0009999,0.074,0.762,0.0009999,0.045,0.071,0.0009999,0.137,0.126,0.007,0.009,0.017,0.005,0.014,0.014,0.0009999
F196,-46.44557,-53.32432,20/Nov,13:47,324.57432,1.018,0.118,0.197,0.063,0.048,0.253,0.015,0.105,0.017,0.134,0.069,0.253,0.921,0.0009999,0.097,0.118,0.0009999,0.106,0.091,0.004,0.015,0.016,0.009,0.017,0.028,0.0009999
