,,,,,,PRIMARY PIGMENTS,,,,,,,,,,,,SECONDARY PIGMENTS,,,,,,,TERTIARY PIGMENTS,,,,,,ANCILLARY PIGMENT
Sample ID,lat (deg N),lon (deg E),Date,Time (GMT),yearday,[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro]
F31,32.235,-30.4279,19/Oct,1:30,292.06251,0.061,0.007,0.01,0.006,0.006,0.016,0.0009999,0.004,0.0009999,0.004,0.002,0.034,0.042,0.019,0.0009999,0.005,0.002,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F32,31.56823,-31.30277,19/Oct,9:47,292.40765,0.07,0.007,0.012,0.007,0.006,0.017,0.0009999,0.004,0.0009999,0.004,0.002,0.033,0.048,0.022,0.0009999,0.005,0.002,0.006,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F33,31.10605,-31.90737,19/Oct,14:22,292.59862,0.057,0.004,0.01,0.005,0.005,0.014,0.0009999,0.008,0.001,0.004,0.001,0.0325,0.0385,0.018,0.00099995,0.003,0.001,0.005,0.005,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F34,30.72387,-32.399,19/Oct,19:40,292.81946,0.061,0.006,0.011,0.006,0.005,0.016,0.0009999,0.006,0.001,0.004,0.002,0.036,0.04,0.021,0.0009999,0.004,0.002,0.005,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F35,29.8829,-33.4767,20/Oct,2:46,293.11529,0.059,0.006,0.01,0.006,0.005,0.015,0.0009999,0.004,0.0009999,0.003,0.002,0.034,0.038,0.021,0.0009999,0.004,0.002,0.005,0.005,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F36,29.671,-33.725,20/Oct,7:17,293.30348,0.054,0.006,0.01,0.005,0.005,0.014,0.0009999,0.003,0.0009999,0.003,0.002,0.028,0.037,0.017,0.0009999,0.004,0.002,0.005,0.005,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F37,28.93698,-34.66622,20/Oct,15:20,293.6389,0.038,0.003,0.006,0.003,0.004,0.009,0.0009999,0.006,0.001,0.003,0.001,0.024,0.026,0.011,0.001,0.002,0.001,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F38,28.39972,-35.36605,20/Oct,20:33,293.85626,0.044,0.004,0.006,0.004,0.005,0.01,0.0009999,0.005,0.001,0.003,0.001,0.026,0.029,0.015,0.0009999,0.003,0.001,0.003,0.003,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F39,27.71067,-36.22602,21/Oct,2:32,294.10557,0.06,0.006,0.009,0.006,0.005,0.013,0.0009999,0.005,0.0009999,0.004,0.002,0.031,0.039,0.02,0.001,0.004,0.002,0.004,0.005,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F40,27.27683,-36.76633,21/Oct,8:50,294.36807,0.059,0.006,0.01,0.006,0.005,0.014,0.0009999,0.003,0.0009999,0.004,0.002,0.028,0.039,0.019,0.001,0.004,0.002,0.005,0.005,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F41,26.71727,-37.47123,21/Oct,14:26,294.6014,0.055,0.004,0.008,0.005,0.005,0.013,0.0009999,0.008,0.001,0.003,0.001,0.023,0.04,0.014,0.001,0.003,0.001,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F42,26.1793,-38.12667,21/Oct,20:29,294.85348,0.086,0.006,0.012,0.009,0.005,0.018,0.0009999,0.007,0.001,0.004,0.002,0.029,0.062,0.018,0.006,0.004,0.002,0.006,0.006,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F43,25.85893,-38.52083,21/Oct,23:18,294.97084,0.084,0.006,0.011,0.008,0.005,0.016,0.0009999,0.007,0.0009999,0.004,0.002,0.026,0.064,0.015,0.005,0.004,0.002,0.005,0.006,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F44,25.41805,-38.98745,22/Oct,3:26,295.14307,0.079,0.006,0.01,0.008,0.005,0.0165,0.0009999,0.006,0.0009999,0.004,0.0015,0.03,0.0555,0.0195,0.004,0.004,0.002,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F45,25.11217,-39.43583,22/Oct,9:13,295.38404,0.0895,0.0075,0.014,0.008,0.006,0.02,0.0009999,0.004,0.0009999,0.0035,0.002,0.0255,0.0655,0.019,0.005,0.005,0.0025,0.007,0.007,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F46,24.59785,-40.07487,22/Oct,15:06,295.62918,0.072,0.005,0.01,0.007,0.005,0.017,0.0009999,0.009,0.001,0.004,0.002,0.028,0.054,0.016,0.002,0.004,0.001,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F47,23.99102,-40.8183,22/Oct,21:06,295.87918,0.045,0.003,0.008,0.004,0.004,0.011,0.0009999,0.005,0.0009999,0.003,0.002,0.021,0.033,0.011,0.001,0.003,0.0009999,0.004,0.004,0.0009999,0.0009999,0.001,0.0009999,0.0009999,0.0009999,0.0009999
F48,23.27107,-40.72658,23/Oct,2:41,296.11182,0.079,0.005,0.008,0.009,0.004,0.014,0.0009999,0.006,0.0009999,0.003,0.001,0.032,0.053,0.018,0.008,0.003,0.002,0.004,0.004,0.0009999,0.001,0.001,0.001,0.0009999,0.0009999,0.0009999
F49,23.16383,-40.6045,23/Oct,5:48,296.24168,0.09,0.007,0.01,0.009,0.005,0.016,0.0009999,0.006,0.0009999,0.003,0.002,0.035,0.061,0.025,0.004,0.004,0.003,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F50,22.7075,-40.29433,23/Oct,9:14,296.38473,0.103,0.008,0.013,0.01,0.005,0.019,0.0009999,0.005,0.0009999,0.004,0.002,0.035,0.066,0.028,0.009,0.005,0.003,0.007,0.006,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F51,22.10485,-39.82223,23/Oct,13:34,296.56529,0.101,0.006,0.01,0.01,0.005,0.017,0.0009999,0.01,0.001,0.003,0.002,0.042,0.066,0.026,0.009,0.004,0.002,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F52,21.34595,-39.23278,23/Oct,21:52,296.91112,0.102,0.006,0.01,0.011,0.004,0.016,0.0009999,0.007,0.0009999,0.003,0.002,0.041,0.067,0.027,0.008,0.004,0.002,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F53,20.66767,-38.71167,24/Oct,2:40,297.11112,0.081,0.006,0.0085,0.009,0.004,0.012,0.0009999,0.0055,0.0009999,0.003,0.002,0.042,0.052,0.0245,0.0045,0.004,0.002,0.0045,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F54,20.56317,-38.587,24/Oct,5:53,297.24515,0.079,0.006,0.008,0.009,0.004,0.012,0.0009999,0.004,0.0009999,0.003,0.002,0.035,0.051,0.023,0.005,0.004,0.002,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F55,19.91283,-38.14117,24/Oct,10:19,297.42987,0.102,0.009,0.013,0.011,0.005,0.019,0.0009999,0.008,0.001,0.004,0.003,0.043,0.065,0.032,0.005,0.005,0.004,0.007,0.006,0.0009999,0.001,0.001,0.001,0.0009999,0.0009999,0.0009999
F56,19.5615,-37.86767,24/Oct,12:54,297.53751,0.122,0.007,0.009,0.014,0.004,0.014,0.0009999,0.01,0.001,0.003,0.002,0.047,0.085,0.033,0.004,0.004,0.003,0.004,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F57,18.6326,-37.16318,24/Oct,20:45,297.86459,0.077,0.005,0.009,0.01,0.003,0.013,0.0009999,0.005,0.0009999,0.003,0.002,0.054,0.041,0.03,0.006,0.003,0.002,0.005,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F58,18.26062,-36.88292,24/Oct,23:27,297.97709,0.073,0.006,0.008,0.009,0.004,0.012,0.0009999,0.005,0.0009999,0.004,0.001,0.052,0.04,0.029,0.004,0.003,0.003,0.004,0.004,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F59,17.81208,-36.54068,25/Oct,2:41,298.11182,0.076,0.007,0.01,0.01,0.004,0.014,0.0009999,0.005,0.0009999,0.003,0.002,0.059,0.039,0.032,0.005,0.004,0.003,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F60,17.7135,-36.39567,25/Oct,5:57,298.24793,0.091,0.006,0.009,0.011,0.004,0.012,0.001,0.005,0.001,0.005,0.003,0.059,0.055,0.034,0.002,0.003,0.003,0.005,0.004,0.0009999,0.0009999,0.001,0.002,0.006,0.0009999,0.0009999
F61,16.73167,-35.7345,25/Oct,13:05,298.54515,0.095,0.008,0.011,0.012,0.005,0.016,0.0009999,0.009,0.001,0.005,0.002,0.07,0.05,0.039,0.006,0.004,0.004,0.006,0.005,0.0009999,0.0009999,0.001,0.002,0.003,0.0009999,0.0009999
F62,16.40302,-35.48493,25/Oct,17:28,298.72432,0.083,0.006,0.01,0.01,0.004,0.016,0.0009999,0.007,0.001,0.003,0.001,0.072,0.043,0.036,0.004,0.003,0.003,0.005,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F63,15.78208,-35.02672,25/Oct,21:36,298.90001,0.0765,0.0065,0.0095,0.0105,0.004,0.014,0.0009999,0.005,0.0009999,0.0035,0.002,0.065,0.0375,0.036,0.003,0.003,0.0035,0.005,0.0045,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F64,15.25928,-34.60773,26/Oct,2:10,299.09029,0.102,0.01,0.011,0.013,0.005,0.017,0.0009999,0.005,0.0009999,0.004,0.002,0.069,0.048,0.05,0.004,0.004,0.006,0.006,0.005,0.0009999,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
